t,cpu_util,mem_util
260,0.313,0.4393
261,0.3101,0.4257
262,0.3067,0.4029
263,0.3136,0.4105
264,0.3043,0.4084
265,0.316,0.3858
266,0.3379,0.392
267,0.3417,0.3875
268,0.3491,0.3952
269,0.3502,0.4012
270,0.3502,0.3912
271,0.3358,0.4003
272,0.3428,0.392
273,0.3412,0.385
274,0.3835,0.3768
275,0.4133,0.3939
276,0.4179,0.3892
277,0.3992,0.4094
278,0.3745,0.435
279,0.3971,0.4217
280,0.4,0.3762
281,0.4071,0.392
282,0.3694,0.3864
283,0.3869,0.3732
284,0.3942,0.3646
285,0.3698,0.359
286,0.3593,0.3793
287,0.3641,0.3817
288,0.3645,0.4009
289,0.3579,0.4075
290,0.3555,0.4017
291,0.3501,0.395
292,0.3532,0.4028
293,0.3825,0.4142
294,0.3295,0.4278
295,0.3258,0.422
296,0.3305,0.4229
297,0.3374,0.43
298,0.3306,0.4222
299,0.2964,0.4035
300,0.3057,0.3905
301,0.552,0.5127
302,0.4895,0.503
303,0.4815,0.5048
304,0.4528,0.4692
305,0.4333,0.448
306,0.3969,0.4326
307,0.3784,0.4361
308,0.395,0.4207
309,0.3977,0.4082
310,0.4242,0.3821
311,0.4392,0.3861
312,0.4394,0.3807
313,0.438,0.3515
314,0.4424,0.3487
315,0.4543,0.3669
316,0.4432,0.3523
317,0.4399,0.3408
318,0.4214,0.3612
319,0.4376,0.363
320,0.4097,0.3738
321,0.4224,0.38
322,0.4149,0.3795
323,0.4351,0.3743
324,0.4459,0.387
325,0.4775,0.4042
326,0.4857,0.4195
327,0.5102,0.4377
328,0.4944,0.4507
329,0.4582,0.4389
330,0.3998,0.3993
331,0.4275,0.396
332,0.4364,0.4079
333,0.4181,0.4148
334,0.3944,0.4096
335,0.3928,0.421
336,0.3664,0.4215
337,0.3521,0.4112
338,0.3582,0.3993
339,0.3809,0.4047
340,0.3916,0.4025
341,0.3437,0.381
342,0.3501,0.3936
343,0.3515,0.3859
344,0.3597,0.4095
345,0.3915,0.3873
346,0.3482,0.3843
347,0.3365,0.3736
348,0.349,0.3592
349,0.3174,0.3528
350,0.3485,0.3804
351,0.356,0.3826
352,0.3726,0.3706
353,0.3601,0.3435
354,0.3758,0.3192
355,0.3959,0.3136
356,0.3983,0.3067
357,0.4005,0.3063
358,0.4034,0.2751
359,0.3835,0.278
360,0.3789,0.2975
361,0.3744,0.3251
362,0.5038,0.4327
363,0.5034,0.4034
364,0.4638,0.3768
365,0.4465,0.3682
366,0.4636,0.3412
367,0.4365,0.3602
368,0.4102,0.355
369,0.4065,0.3486
370,0.4166,0.369
371,0.4102,0.3652
372,0.4076,0.3431
373,0.4219,0.3333
374,0.4351,0.3146
375,0.442,0.3081
376,0.4839,0.3438
377,0.4731,0.3547
378,0.4269,0.3598
379,0.4551,0.346
380,0.4407,0.361
381,0.4383,0.3414
382,0.4601,0.3195
383,0.4226,0.3135
384,0.3939,0.3455
385,0.3597,0.3753
386,0.3433,0.3687
387,0.3524,0.3591
388,0.3628,0.3353
389,0.3677,0.3383
390,0.3386,0.3424
391,0.2929,0.3557
392,0.2969,0.3704
393,0.2901,0.3678
394,0.3023,0.3766
395,0.3187,0.3662
396,0.323,0.3748
397,0.3396,0.3674
398,0.3447,0.3748
399,0.3555,0.3807
400,0.3412,0.3817
401,0.338,0.3936
402,0.3426,0.3695
403,0.3593,0.3539
404,0.351,0.3509
405,0.3614,0.3304
406,0.3555,0.3263
407,0.3529,0.3228
408,0.3693,0.3448
409,0.3285,0.3483
410,0.3036,0.365
411,0.2763,0.3701
412,0.2333,0.3625
413,0.2256,0.3652
414,0.2468,0.3767
415,0.2463,0.3948
416,0.2554,0.3922
417,0.2819,0.367
418,0.3119,0.3418
419,0.3124,0.3384
420,0.3413,0.305
421,0.3436,0.3349
422,0.3272,0.3457
423,0.3164,0.3375
424,0.2885,0.3226
425,0.2738,0.3403
426,0.2705,0.3252
427,0.2905,0.3121
428,0.3279,0.3033
429,0.3014,0.3081
430,0.3117,0.3203
431,0.2928,0.3406
432,0.3051,0.3578
433,0.3047,0.3587
434,0.2704,0.3749
435,0.2929,0.365
436,0.2837,0.3383
437,0.2763,0.3299
438,0.2586,0.3198
439,0.2501,0.3127
440,0.2637,0.301
441,0.2642,0.2973
442,0.275,0.3099
443,0.286,0.3384
444,0.3156,0.3142
445,0.3105,0.2975
446,0.2829,0.2889
447,0.3076,0.3041
448,0.3031,0.304
449,0.3278,0.2962
450,0.3365,0.3103
451,0.3346,0.3274
452,0.3423,0.3293
453,0.3817,0.3191
454,0.4217,0.3255
455,0.4195,0.3242
456,0.4192,0.3228
457,0.4373,0.3174
458,0.416,0.3338
459,0.4194,0.3394
460,0.4154,0.3566
461,0.4184,0.3776
462,0.3983,0.3845
463,0.3641,0.3768
464,0.3219,0.3925
465,0.301,0.399
466,0.2943,0.4373
467,0.2912,0.4396
468,0.3329,0.4477
469,0.3559,0.4494
470,0.3363,0.4451
471,0.344,0.4386
472,0.3361,0.4407
473,0.3311,0.4461
474,0.3358,0.4607
475,0.3489,0.4621
476,0.3421,0.4519
477,0.3638,0.4441
478,0.3403,0.4217
479,0.3409,0.445
480,0.3933,0.4343
481,0.3956,0.4466
482,0.422,0.4481
483,0.4202,0.4499
484,0.4283,0.4454
485,0.4233,0.4309
486,0.4162,0.4144
487,0.3973,0.4389
488,0.4035,0.4383
489,0.3838,0.4528
490,0.3955,0.4707
491,0.4149,0.4609
492,0.419,0.464
493,0.4098,0.4613
494,0.4159,0.4407
495,0.4064,0.4355
496,0.4223,0.4421
497,0.3821,0.4321
498,0.3737,0.4252
499,0.3327,0.4208
500,0.3037,0.4508
501,0.3333,0.4205
502,0.352,0.4264
503,0.3375,0.4207
504,0.3081,0.4095
505,0.2509,0.4041
506,0.245,0.4132
507,0.2987,0.4227
508,0.3099,0.4238
509,0.3007,0.4384
510,0.3125,0.4551
511,0.2832,0.4644
512,0.2806,0.4528
513,0.286,0.4573
514,0.2875,0.4617
515,0.3064,0.4462
516,0.3155,0.42
517,0.3306,0.3881
518,0.3178,0.3888
519,0.3374,0.3929
520,0.3706,0.3747
521,0.3501,0.3906
522,0.3324,0.3924
523,0.36,0.4122
524,0.3557,0.4164
525,0.3834,0.399
526,0.3729,0.4051
527,0.4009,0.4142
528,0.401,0.4046
529,0.4036,0.382
530,0.4322,0.3834
531,0.4209,0.3682
532,0.3985,0.3855
533,0.3871,0.3792
534,0.3943,0.4051
535,0.3608,0.3722
536,0.373,0.3746
537,0.361,0.3962
538,0.3834,0.3822
539,0.3339,0.3797
540,0.319,0.3737
541,0.2868,0.3637
542,0.2734,0.368
543,0.2822,0.3491
544,0.282,0.3486
545,0.2803,0.3576
546,0.2806,0.3553
547,0.2882,0.3413
548,0.2711,0.3583
549,0.2892,0.3701
550,0.3055,0.3549
551,0.3154,0.3365
552,0.3283,0.3239
553,0.3353,0.3344
554,0.3767,0.3403
555,0.3736,0.3538
556,0.3663,0.3499
557,0.3504,0.3373
558,0.3298,0.3527
559,0.3059,0.3455
560,0.2903,0.3497
561,0.2919,0.3277
562,0.3015,0.3212
563,0.3049,0.3387
564,0.2919,0.3296
565,0.3128,0.3439
566,0.3294,0.3103
567,0.3273,0.3047
568,0.3153,0.3052
569,0.328,0.3343
570,0.3329,0.3186
571,0.3048,0.3311
572,0.3057,0.3489
573,0.3131,0.3393
574,0.297,0.3354
575,0.3034,0.3393
576,0.2767,0.3187
577,0.3071,0.3143
578,0.3342,0.3361
579,0.3299,0.3457
580,0.3382,0.3447
581,0.2906,0.3478
582,0.2704,0.3578
583,0.2685,0.3703
584,0.2512,0.3623
585,0.2704,0.3861
586,0.3143,0.4056
587,0.2926,0.4147
588,0.2787,0.4007
589,0.287,0.3845
590,0.3223,0.3794
591,0.2993,0.3804
592,0.3068,0.3538
593,0.3454,0.3623
594,0.3126,0.3823
595,0.2888,0.3909
596,0.2834,0.3803
597,0.2763,0.3684
598,0.2963,0.3733
599,0.3038,0.3713
600,0.2706,0.3783
601,0.2849,0.3874
602,0.2766,0.4035
603,0.3057,0.3856
604,0.2954,0.3887
605,0.2854,0.3829
606,0.2995,0.3813
607,0.3172,0.3942
608,0.3278,0.4082
609,0.2952,0.4281
610,0.3087,0.4325
611,0.2901,0.4288
612,0.2978,0.423
613,0.2719,0.3953
614,0.2848,0.4148
615,0.2719,0.4085
616,0.2502,0.415
617,0.2694,0.4238
618,0.2783,0.4033
619,0.2696,0.3886
620,0.3026,0.4114
621,0.2962,0.4145
622,0.2995,0.4044
623,0.3074,0.4016
624,0.2972,0.417
625,0.3092,0.4295
626,0.3006,0.4056
627,0.2948,0.429
628,0.3248,0.4416
629,0.5242,0.518
630,0.4446,0.4854
631,0.4529,0.4892
632,0.3497,0.4361
633,0.3416,0.412
634,0.3033,0.4073
635,0.2994,0.4531
636,0.2962,0.4504
637,0.2951,0.4364
638,0.2756,0.4191
639,0.2909,0.4441
640,0.3044,0.4542
641,0.2767,0.4724
642,0.2944,0.4724
643,0.3382,0.4875
644,0.3423,0.4705
645,0.3359,0.4693
646,0.3338,0.47
647,0.3469,0.4872
648,0.3124,0.4877
649,0.3176,0.474
650,0.3114,0.4712
651,0.3503,0.4424
652,0.3468,0.4051
653,0.3803,0.4165
654,0.3567,0.4095
655,0.3681,0.4044
656,0.3736,0.4159
657,0.355,0.4354
658,0.3583,0.4412
659,0.3822,0.4676
660,0.3741,0.4717
661,0.339,0.4725
662,0.3392,0.4725
663,0.3217,0.4495
664,0.3163,0.461
665,0.3164,0.4211
666,0.2839,0.4107
667,0.2549,0.4098
668,0.2693,0.3968
669,0.2629,0.3893
670,0.2159,0.4165
671,0.2383,0.4316
672,0.2494,0.4193
673,0.2401,0.4107
674,0.2193,0.3903
675,0.2425,0.4004
676,0.2549,0.3959
677,0.3073,0.3657
678,0.3178,0.3678
679,0.3272,0.3749
680,0.325,0.3895
681,0.3426,0.3881
682,0.3555,0.3822
683,0.3802,0.4119
684,0.3683,0.4107
685,0.3587,0.4203
686,0.3487,0.4105
687,0.3645,0.4197
688,0.3938,0.3963
689,0.3824,0.3887
690,0.3723,0.3702
691,0.3775,0.3615
692,0.3712,0.381
693,0.3892,0.3718
694,0.3422,0.3829
695,0.326,0.4055
696,0.3116,0.4041
697,0.2671,0.418
698,0.252,0.4245
699,0.2386,0.4245
700,0.2401,0.4339
701,0.2679,0.4594
702,0.3548,0.5934
703,0.3248,0.5538
704,0.3173,0.5175
705,0.3334,0.515
706,0.3092,0.5164
707,0.2884,0.4943
708,0.2987,0.4505
709,0.2935,0.4314
710,0.3064,0.4324
711,0.3059,0.4249
712,0.3201,0.4221
713,0.2992,0.4094
714,0.3001,0.4208
715,0.2971,0.422
716,0.2659,0.413
717,0.2388,0.4141
718,0.2581,0.4206
719,0.2557,0.4258
720,0.2399,0.4101
721,0.2435,0.4145
722,0.2714,0.425
723,0.2297,0.4405
724,0.2058,0.4443
725,0.1946,0.4273
726,0.2316,0.4132
727,0.2431,0.4054
728,0.2638,0.4072
729,0.2453,0.4043
730,0.2282,0.3864
731,0.2432,0.3692
732,0.2497,0.3382
733,0.2657,0.2931
734,0.2662,0.2946
735,0.2759,0.3328
736,0.2828,0.3616
737,0.3017,0.3477
738,0.3203,0.3512
739,0.2894,0.3304
740,0.2474,0.3127
741,0.2726,0.2974
742,0.3002,0.2974
743,0.2823,0.2979
744,0.2485,0.305
745,0.2555,0.318
746,0.2789,0.3154
747,0.3184,0.3185
748,0.3303,0.3046
749,0.3239,0.2874
750,0.3073,0.2686
751,0.3097,0.2828
752,0.3057,0.2816
753,0.2876,0.2575
754,0.3317,0.2615
755,0.3683,0.2475
756,0.3901,0.2777
757,0.3697,0.2731
758,0.3858,0.2876
759,0.3968,0.3076
760,0.4033,0.2962
761,0.4257,0.3007
762,0.4346,0.3122
763,0.4452,0.3166
764,0.4531,0.3246
765,0.4548,0.3068
766,0.4139,0.3181
767,0.4124,0.3133
768,0.3981,0.3212
769,0.3701,0.3373
770,0.4027,0.3491
771,0.4347,0.3555
772,0.4576,0.3661
773,0.4574,0.377
774,0.479,0.3996
775,0.4728,0.3983
776,0.4707,0.4
777,0.4428,0.4132
778,0.4461,0.4045
779,0.4425,0.3835
780,0.4118,0.3908
781,0.4077,0.3872
782,0.4032,0.3688
783,0.4365,0.3768
784,0.4501,0.3984
785,0.4453,0.3732
786,0.4455,0.3888
787,0.4416,0.3504
788,0.433,0.3456
789,0.4072,0.3746
790,0.4013,0.3699
791,0.3838,0.3716
792,0.3571,0.3834
793,0.367,0.3575
794,0.374,0.3595
795,0.337,0.3613
796,0.3352,0.39
797,0.3559,0.371
798,0.3768,0.3657
799,0.3959,0.3523
800,0.3944,0.3379
801,0.3753,0.3565
802,0.3524,0.3578
803,0.3591,0.3504
804,0.3663,0.3438
805,0.3912,0.3368
806,0.4111,0.3314
807,0.4054,0.3144
808,0.3778,0.3131
809,0.37,0.3104
810,0.3734,0.3018
811,0.3681,0.3073
812,0.3557,0.3138
813,0.3605,0.3081
814,0.3499,0.3088
815,0.3373,0.344
816,0.3442,0.3773
817,0.3364,0.3616
818,0.342,0.3486
819,0.3478,0.334
820,0.3252,0.3517
821,0.3168,0.3468
822,0.3472,0.3517
823,0.3241,0.3828
824,0.2831,0.3826
825,0.2492,0.393
826,0.2548,0.4003
827,0.2602,0.3907
828,0.2623,0.4062
829,0.291,0.3924
830,0.2405,0.412
831,0.2539,0.4019
832,0.2899,0.3938
833,0.2704,0.377
834,0.2667,0.3632
835,0.2558,0.3575
836,0.2427,0.3219
837,0.2415,0.3207
838,0.2755,0.3155
839,0.316,0.3299
840,0.3109,0.3383
841,0.351,0.3293
842,0.3517,0.3245
843,0.3866,0.3232
844,0.3829,0.3477
845,0.3839,0.3367
846,0.3895,0.3276
847,0.4511,0.3128
848,0.4631,0.2932
849,0.4433,0.3013
850,0.458,0.3075
851,0.4454,0.3297
852,0.4308,0.3473
853,0.4449,0.3846
854,0.4408,0.3833
855,0.4419,0.3792
856,0.4375,0.3598
857,0.4399,0.371
858,0.5989,0.4642
859,0.5317,0.4602
860,0.5223,0.4312
861,0.4826,0.427
862,0.4374,0.4219
863,0.3562,0.3775
864,0.3576,0.3673
865,0.4555,0.4973
866,0.4552,0.5107
867,0.4133,0.4781
868,0.3937,0.4759
869,0.3728,0.4212
870,0.3647,0.4231
871,0.3233,0.3467
872,0.3044,0.3402
873,0.3212,0.3221
874,0.3239,0.3212
875,0.2874,0.3361
876,0.2513,0.31
877,0.256,0.3074
878,0.2563,0.3026
879,0.2589,0.3294
880,0.2629,0.3379
881,0.2718,0.322
882,0.2946,0.3172
883,0.2752,0.3431
884,0.2555,0.3553
885,0.2383,0.3425
886,0.2497,0.34
887,0.2796,0.338
888,0.2745,0.3316
889,0.2283,0.3079
890,0.2003,0.3006
891,0.1911,0.3247
892,0.1879,0.3212
893,0.1878,0.322
894,0.1967,0.3264
895,0.1981,0.3618
896,0.2267,0.3627
897,0.2194,0.3798
898,0.2086,0.3708
899,0.2253,0.3673
900,0.2008,0.368
901,0.2161,0.3568
902,0.2248,0.3547
903,0.2281,0.3691
904,0.266,0.3575
905,0.2577,0.3584
906,0.3036,0.3699
907,0.3014,0.3579
908,0.2783,0.3752
909,0.2832,0.3765
910,0.2651,0.3742
911,0.2543,0.3443
912,0.267,0.3401
913,0.2823,0.3473
914,0.2732,0.3748
915,0.2968,0.3835
916,0.3226,0.4003
917,0.3527,0.3813
918,0.3632,0.3794
919,0.3898,0.3977
920,0.3502,0.3837
921,0.3438,0.398
922,0.3268,0.4083
923,0.3303,0.4113
924,0.3199,0.4051
925,0.318,0.3893
926,0.3573,0.4155
927,0.3535,0.4236
928,0.3616,0.427
929,0.3564,0.4189
930,0.3576,0.4179
931,0.3573,0.4189
932,0.3659,0.4233
933,0.3884,0.4326
934,0.4195,0.4187
935,0.4222,0.3952
936,0.4304,0.3959
937,0.4033,0.369
938,0.3989,0.3646
939,0.4153,0.3576
940,0.4293,0.3658
941,0.4296,0.3962
942,0.4433,0.3663
943,0.4485,0.401
944,0.4676,0.3967
945,0.4675,0.4012
946,0.4545,0.3791
947,0.456,0.3941
948,0.3921,0.3942
949,0.3976,0.3927
950,0.3223,0.3631
951,0.2892,0.3649
952,0.3013,0.3782
953,0.3133,0.3747
954,0.2918,0.3926
955,0.2805,0.409
956,0.3114,0.3983
957,0.3036,0.4215
958,0.3508,0.4205
959,0.3507,0.4196
960,0.3589,0.4195
961,0.3908,0.419
962,0.3913,0.378
963,0.3692,0.3753
964,0.3661,0.355
965,0.3646,0.3804
966,0.3365,0.4042
967,0.3321,0.416
968,0.3181,0.411
969,0.3382,0.3946
970,0.3395,0.3842
971,0.3344,0.4131
972,0.333,0.4014
973,0.3383,0.3652
974,0.3513,0.3813
975,0.3312,0.4037
976,0.3113,0.4277
977,0.3353,0.4413
978,0.3278,0.4569
979,0.3006,0.4546
980,0.3119,0.4205
981,0.3231,0.4193
982,0.2938,0.427
983,0.3012,0.4231
984,0.3184,0.4187
985,0.3275,0.4027
986,0.3412,0.3868
987,0.3136,0.4141
988,0.322,0.4408
989,0.3174,0.4383
990,0.3093,0.4402
991,0.3288,0.4231
992,0.3594,0.431
993,0.3948,0.4554
994,0.4189,0.4294
995,0.4133,0.4344
996,0.4172,0.4403
997,0.4291,0.4458
998,0.4276,0.4678
999,0.4263,0.4948
1000,0.439,0.4868
1001,0.4334,0.4926
1002,0.4146,0.4893
1003,0.4031,0.4755
1004,0.4131,0.4757
1005,0.41,0.482
1006,0.4138,0.4811
1007,0.424,0.4639
1008,0.4128,0.4536
1009,0.4248,0.4438
1010,0.4286,0.4286
1011,0.4,0.4314
1012,0.4264,0.4356
1013,0.4125,0.448
1014,0.3763,0.4325
1015,0.3541,0.4217
1016,0.3335,0.4434
1017,0.3353,0.4384
1018,0.3306,0.4365
1019,0.3248,0.4316
1020,0.3385,0.4465
1021,0.3458,0.4614
1022,0.3524,0.4749
1023,0.3605,0.4715
1024,0.3723,0.4547
1025,0.329,0.4806
1026,0.3227,0.4894
1027,0.2805,0.4782
1028,0.2847,0.4956
1029,0.5324,0.5898
1030,0.5188,0.5905
1031,0.5127,0.594
1032,0.4905,0.5629
1033,0.4581,0.5569
1034,0.4494,0.5554
1035,0.4229,0.5823
1036,0.4099,0.5586
1037,0.4188,0.5692
1038,0.3975,0.5587
1039,0.4056,0.5302
1040,0.4116,0.5201
1041,0.3854,0.5126
1042,0.3716,0.4775
1043,0.3845,0.4783
1044,0.3848,0.4887
1045,0.3678,0.488
1046,0.3498,0.4755
1047,0.339,0.4695
1048,0.3504,0.4658
1049,0.3313,0.4657
1050,0.341,0.4789
1051,0.3166,0.479
1052,0.3142,0.454
1053,0.3182,0.4426
1054,0.3687,0.4426
1055,0.3402,0.4569
1056,0.3701,0.4733
1057,0.3721,0.4962
1058,0.3792,0.4935
1059,0.3801,0.5004
1060,0.3875,0.4738
1061,0.3826,0.4765
1062,0.41,0.4565
1063,0.3979,0.4525
1064,0.4181,0.4951
1065,0.4018,0.495
1066,0.398,0.4775
1067,0.3742,0.4797
1068,0.3821,0.4679
1069,0.4094,0.45
1070,0.4049,0.4788
1071,0.3982,0.4908
1072,0.3735,0.4916
1073,0.3677,0.4812
1074,0.335,0.4725
1075,0.3175,0.4919
1076,0.3236,0.4921
1077,0.3513,0.4413
1078,0.4075,0.4752
1079,0.3929,0.4741
1080,0.4194,0.4755
1081,0.4208,0.488
1082,0.4143,0.4907
1083,0.4197,0.4974
1084,0.4174,0.4864
1085,0.4163,0.4637
1086,0.4048,0.4645
1087,0.3741,0.4826
1088,0.342,0.4688
1089,0.3555,0.4543
1090,0.3497,0.4697
1091,0.3378,0.4592
1092,0.3386,0.4499
1093,0.355,0.4415
1094,0.3584,0.4381
1095,0.3448,0.4121
1096,0.3696,0.4028
1097,0.4002,0.4053
1098,0.4076,0.4077
1099,0.4959,0.6045
1100,0.506,0.6026
1101,0.5146,0.599
1102,0.5133,0.5893
1103,0.5126,0.5663
1104,0.511,0.5389
1105,0.4778,0.5239
1106,0.4827,0.5194
1107,0.4466,0.5198
1108,0.424,0.5182
1109,0.4447,0.5062
1110,0.4553,0.5091
1111,0.4786,0.5196
1112,0.4576,0.5037
1113,0.4291,0.4983
1114,0.4204,0.4811
1115,0.6089,0.5536
1116,0.5778,0.5263
1117,0.5725,0.5157
1118,0.54,0.5108
1119,0.5256,0.4782
1120,0.487,0.4615
1121,0.4107,0.4246
1122,0.4077,0.4093
1123,0.3899,0.4146
1124,0.3831,0.4086
1125,0.3778,0.3966
1126,0.371,0.3968
1127,0.4054,0.402
1128,0.4006,0.3884
1129,0.3932,0.3844
1130,0.3491,0.3912
1131,0.3313,0.3794
1132,0.327,0.3545
1133,0.3144,0.3325
1134,0.3438,0.3281
1135,0.3408,0.3104
1136,0.367,0.308
1137,0.3674,0.3358
1138,0.3673,0.3169
1139,0.3647,0.3152
1140,0.364,0.3498
1141,0.3977,0.3571
1142,0.3489,0.3525
1143,0.3089,0.3513
1144,0.3001,0.3589
1145,0.3029,0.3851
1146,0.3191,0.377
1147,0.3301,0.3657
1148,0.3234,0.3456
1149,0.3451,0.3485
1150,0.3659,0.3287
1151,0.3688,0.3238
1152,0.3871,0.3124
1153,0.3907,0.3312
1154,0.3775,0.3256
1155,0.3901,0.3337
1156,0.3903,0.3115
1157,0.3883,0.3162
1158,0.4158,0.3007
1159,0.3635,0.2975
1160,0.3345,0.334
1161,0.3115,0.3498
1162,0.3062,0.3491
1163,0.3033,0.3983
1164,0.2755,0.3838
1165,0.2595,0.4012
1166,0.2468,0.3773
1167,0.3011,0.3738
1168,0.3396,0.3538
1169,0.3319,0.3587
