t,cpu_util,mem_util
101,0.4279,0.4233
102,0.3879,0.4058
103,0.3726,0.379
104,0.4209,0.4168
105,0.3922,0.418
106,0.3847,0.4121
107,0.4063,0.3915
108,0.37,0.3826
109,0.3675,0.3922
110,0.3668,0.3843
111,0.3574,0.3995
112,0.3691,0.3843
113,0.3813,0.4043
114,0.37,0.4005
115,0.3734,0.3854
116,0.3733,0.3645
117,0.3669,0.3681
118,0.3394,0.3831
119,0.3482,0.3722
120,0.3802,0.3842
121,0.3551,0.3745
122,0.3678,0.3879
123,0.3398,0.3701
124,0.3473,0.3607
125,0.3778,0.3781
126,0.3643,0.3834
127,0.3845,0.3765
128,0.3657,0.3728
129,0.3589,0.3776
130,0.3545,0.3696
131,0.3554,0.3853
132,0.368,0.3861
133,0.382,0.3658
134,0.3584,0.3851
135,0.3747,0.3581
136,0.331,0.3567
137,0.3276,0.3474
138,0.3271,0.3637
139,0.3693,0.3848
140,0.331,0.3661
141,0.3609,0.3523
142,0.3738,0.388
143,0.3336,0.3752
144,0.3439,0.3598
145,0.379,0.3834
146,0.3288,0.3526
147,0.3496,0.3549
148,0.33,0.3479
149,0.3611,0.3452
150,0.3505,0.3582
151,0.3179,0.3439
152,0.3537,0.3613
153,0.3196,0.3692
154,0.3625,0.3811
155,0.3209,0.3408
156,0.3163,0.359
157,0.3295,0.3372
158,0.3379,0.3698
159,0.361,0.3507
160,0.3201,0.3638
161,0.3445,0.362
162,0.3148,0.3275
163,0.3498,0.3517
164,0.3119,0.3598
165,0.3447,0.3636
166,0.3106,0.3549
167,0.3084,0.3538
168,0.3305,0.3392
169,0.3353,0.3627
170,0.3169,0.3254
171,0.3311,0.333
172,0.3047,0.3213
173,0.2998,0.3204
174,0.314,0.3277
175,0.3393,0.3337
176,0.3221,0.3231
177,0.3113,0.3126
178,0.3038,0.3091
179,0.331,0.337
180,0.4484,0.3678
181,0.4987,0.3671
182,0.4887,0.3756
183,0.464,0.3827
184,0.4548,0.3658
185,0.4734,0.3885
186,0.4471,0.3735
187,0.4704,0.3713
188,0.447,0.3517
189,0.4202,0.3338
190,0.4191,0.3557
191,0.4297,0.3348
192,0.4153,0.3555
193,0.4679,0.3629
194,0.4243,0.3316
195,0.4226,0.338
196,0.4106,0.3322
197,0.4155,0.3522
198,0.4626,0.3484
199,0.409,0.3471
200,0.411,0.3223
201,0.3869,0.3144
202,0.4175,0.3266
203,0.3957,0.3185
204,0.3794,0.3026
205,0.3828,0.3072
206,0.3769,0.2891
207,0.3927,0.3004
208,0.4099,0.3154
209,0.419,0.3215
210,0.4141,0.3271
211,0.3888,0.2964
212,0.4281,0.2996
213,0.4075,0.3112
214,0.3575,0.3024
215,0.4146,0.3098
216,0.4014,0.3116
217,0.3576,0.2859
218,0.3811,0.3037
219,0.4001,0.3077
220,0.3827,0.3038
221,0.3877,0.2963
222,0.3542,0.2593
223,0.3457,0.2685
224,0.3421,0.2849
225,0.3723,0.2848
226,0.3755,0.2869
227,0.3646,0.2563
228,0.3849,0.2906
229,0.3631,0.2751
230,0.373,0.259
231,0.3775,0.267
232,0.3303,0.2529
233,0.3754,0.2635
234,0.3756,0.2932
235,0.3579,0.2645
236,0.3565,0.2756
237,0.3764,0.2788
238,0.3676,0.2551
239,0.3329,0.2517
240,0.3748,0.2662
241,0.3628,0.2514
242,0.3277,0.2512
243,0.3711,0.281
244,0.372,0.2661
245,0.3617,0.2703
246,0.3591,0.2567
247,0.3902,0.2698
248,0.3973,0.3015
249,0.3314,0.2641
250,0.3891,0.3021
251,0.3648,0.2687
252,0.3498,0.2918
253,0.3518,0.2794
254,0.349,0.2777
255,0.408,0.2814
256,0.401,0.2955
257,0.4082,0.3068
258,0.3648,0.3032
259,0.3854,0.277
260,0.3544,0.2878
261,0.3887,0.2926
262,0.3701,0.2906
263,0.3855,0.3167
264,0.3668,0.3098
265,0.4288,0.3058
266,0.4385,0.3341
267,0.4404,0.3205
268,0.407,0.3171
269,0.4547,0.3414
270,0.414,0.3255
271,0.412,0.3127
272,0.4039,0.3437
273,0.421,0.3554
274,0.4227,0.3325
275,0.4453,0.3391
276,0.4401,0.3703
277,0.4803,0.3795
278,0.4671,0.3825
279,0.4933,0.379
280,0.4824,0.3593
281,0.488,0.3796
282,0.4941,0.392
283,0.4661,0.3636
284,0.5157,0.3845
285,0.4887,0.3879
286,0.4813,0.4043
287,0.5335,0.4043
288,0.5159,0.4037
289,0.5138,0.4099
290,0.4913,0.3972
291,0.4989,0.4316
292,0.5239,0.4154
293,0.5573,0.4587
294,0.5301,0.4202
295,0.5168,0.4174
296,0.5319,0.4249
297,0.5293,0.4337
298,0.557,0.4694
299,0.5741,0.4589
300,0.555,0.4605
301,0.5568,0.4566
302,0.5391,0.4518
303,0.6067,0.4688
304,0.5784,0.4827
305,0.6077,0.4779
306,0.5702,0.4707
307,0.5832,0.4848
308,0.6258,0.5156
309,0.6238,0.4852
310,0.5686,0.498
311,0.6326,0.5101
312,0.6144,0.4884
313,0.604,0.5236
314,0.6376,0.5329
315,0.6509,0.5152
316,0.5934,0.4964
317,0.6252,0.5282
318,0.6573,0.5411
319,0.6392,0.5391
320,0.6284,0.5291
321,0.6015,0.5316
322,0.6172,0.5431
323,0.6481,0.5296
324,0.6138,0.5186
325,0.6512,0.5483
326,0.6161,0.5144
327,0.6465,0.5444
328,0.6383,0.5289
329,0.6545,0.5262
330,0.6346,0.5385
331,0.6816,0.5603
332,0.6771,0.5529
333,0.6324,0.5312
334,0.6838,0.5646
335,0.6385,0.5248
336,0.6521,0.5545
337,0.6468,0.5367
338,0.6641,0.568
339,0.6332,0.5239
340,0.6407,0.5411
341,0.6645,0.5393
342,0.672,0.5623
343,0.651,0.5348
344,0.6828,0.548
345,0.6715,0.5409
346,0.6286,0.5482
347,0.6327,0.5562
348,0.6456,0.5295
349,0.6253,0.5316
350,0.6549,0.5602
351,0.6171,0.5264
352,0.6202,0.5489
353,0.6136,0.5099
354,0.6061,0.5199
355,0.663,0.5548
356,0.6495,0.554
357,0.6615,0.5302
358,0.6072,0.5364
359,0.6444,0.5109
360,0.5632,0.5232
361,0.9499,0.8286
362,1.0,0.9463
363,0.5198,0.5048
364,1.0,0.8775
365,0.5283,0.5335
366,0.9774,0.8848
367,0.8213,0.7377
368,0.4961,0.5191
369,0.5483,0.5319
370,0.5078,0.5213
371,0.5044,0.5061
372,0.503,0.4669
373,0.5517,0.5125
374,0.4777,0.468
375,0.5497,0.5252
376,0.4907,0.4787
377,0.5423,0.4796
378,0.5246,0.5059
379,0.5116,0.4747
380,0.8743,0.7922
381,0.7793,0.6742
382,0.4997,0.4662
383,0.5237,0.5061
384,0.4573,0.4385
385,0.505,0.4693
386,0.4792,0.4692
387,0.5034,0.4866
388,0.451,0.4693
389,0.4844,0.4534
390,0.4528,0.4361
391,0.447,0.4661
392,0.4588,0.4428
393,0.4712,0.4366
394,0.9478,0.8442
395,0.4923,0.472
396,0.8096,0.7227
397,0.5009,0.4588
398,0.451,0.4575
399,0.4403,0.4487
400,0.4264,0.434
401,0.8214,0.7276
402,0.4351,0.4347
403,0.4295,0.4015
404,0.4661,0.4205
405,0.4267,0.4396
406,0.4142,0.399
407,0.8213,0.7273
408,0.4623,0.4277
409,0.4302,0.4456
410,0.4498,0.4198
411,0.4725,0.4591
412,0.4182,0.4283
413,0.4019,0.4319
414,0.4662,0.4247
415,0.9191,0.7814
416,0.9456,0.834
417,0.8445,0.7439
418,0.9093,0.8107
419,0.4611,0.4498
420,0.4062,0.4318
421,0.4341,0.3934
422,0.4259,0.4349
423,0.4602,0.406
424,0.4115,0.4039
425,0.4596,0.4063
426,0.4247,0.413
427,0.4021,0.3919
428,0.4636,0.3992
429,0.4519,0.3953
430,0.4003,0.4088
431,0.4406,0.4053
432,0.4366,0.41
433,0.9202,0.7955
434,0.4283,0.3971
435,0.9176,0.7814
436,0.3968,0.3816
437,0.3951,0.3971
438,0.9043,0.8088
439,0.922,0.7874
440,0.9481,0.8463
441,0.4654,0.4317
442,0.4007,0.4251
443,0.9831,0.849
444,0.4584,0.3938
445,0.4438,0.3939
446,0.8773,0.787
447,0.4555,0.399
448,0.7997,0.691
449,0.3932,0.4174
450,0.4511,0.3941
451,0.3877,0.3935
452,0.4064,0.4162
453,0.9721,0.8521
454,0.4259,0.3958
455,0.3956,0.4171
456,0.4021,0.4065
457,0.9127,0.8132
458,0.3911,0.3951
459,0.4164,0.4031
460,0.8627,0.7432
461,0.4013,0.3889
462,0.3758,0.3655
463,0.3655,0.3498
464,0.3706,0.3687
465,0.4071,0.3905
466,0.9508,0.8095
467,0.8747,0.7474
468,0.4249,0.4024
469,0.3744,0.3461
470,0.3963,0.369
471,0.3849,0.3948
472,0.8458,0.7622
473,0.8983,0.7623
474,0.3441,0.3585
475,0.3523,0.3413
476,0.3792,0.3708
477,0.3504,0.3435
478,0.338,0.3685
479,0.389,0.3362
480,0.389,0.3585
481,0.7621,0.65
482,0.3276,0.3303
483,0.3777,0.3701
484,0.3408,0.3424
485,0.3801,0.3509
486,0.3659,0.3679
487,0.3823,0.3218
488,0.3283,0.3419
489,0.3665,0.33
490,0.3305,0.313
491,0.3521,0.3414
492,0.3774,0.3356
493,0.3523,0.3467
494,0.3519,0.3299
495,0.8472,0.741
496,0.8416,0.7079
497,0.5873,0.506
498,0.3394,0.323
499,0.3405,0.2922
500,0.3082,0.3201
501,0.3481,0.2914
502,0.736,0.6403
503,0.2812,0.2669
504,0.335,0.3126
505,0.6482,0.5472
506,0.3263,0.285
507,0.2976,0.2656
508,0.2844,0.2965
509,0.2856,0.3085
510,0.7789,0.6569
511,0.2913,0.298
512,0.3111,0.2906
513,0.3222,0.2696
514,0.2653,0.2471
515,0.7816,0.6799
516,0.2884,0.2936
517,0.2875,0.2692
518,0.2677,0.2937
519,0.2631,0.279
520,0.7758,0.6821
521,0.3002,0.2936
522,0.2722,0.2648
523,0.3145,0.2607
524,0.245,0.246
525,0.3148,0.282
526,0.3133,0.2675
527,0.2851,0.2863
528,0.2945,0.268
529,0.2555,0.2823
530,0.3028,0.2617
531,0.77,0.6485
532,0.3155,0.2698
533,0.2697,0.2809
534,0.2589,0.2499
535,0.7041,0.6119
536,0.264,0.2955
537,0.704,0.6439
538,0.3304,0.3078
539,0.2882,0.2651
540,0.2416,0.2438
541,0.2391,0.2518
542,0.2807,0.2695
543,0.2691,0.2534
544,0.2679,0.278
545,0.2719,0.2742
546,0.2739,0.263
547,0.3042,0.2951
548,0.3053,0.2936
549,0.2844,0.2749
550,0.2661,0.2757
551,0.3062,0.2979
552,0.2921,0.289
553,0.2947,0.3006
554,0.2846,0.2991
555,0.3006,0.2997
556,0.2833,0.2991
557,0.3317,0.3315
558,0.2948,0.3088
559,0.3358,0.3211
560,0.3466,0.3274
561,0.3579,0.3213
562,0.3288,0.337
563,0.3686,0.3357
564,0.5999,0.5142
565,0.3436,0.3474
566,0.3388,0.3304
567,0.3839,0.3586
568,0.3802,0.3552
569,0.3445,0.3626
570,0.3795,0.3641
571,0.3597,0.3806
572,0.3892,0.3868
573,0.3837,0.3678
574,0.3679,0.3872
575,0.4162,0.3826
576,0.3852,0.3827
577,0.375,0.3943
578,0.3943,0.3868
579,0.4101,0.4077
580,0.4109,0.4224
581,0.3973,0.4175
582,0.4456,0.4081
583,0.7861,0.6421
584,0.4473,0.419
585,0.4211,0.4135
586,0.4379,0.4183
587,0.4691,0.4312
588,0.4626,0.456
589,0.4841,0.4655
590,0.4466,0.4535
591,0.4835,0.4573
592,0.4765,0.4511
593,0.4556,0.4565
594,0.4793,0.4526
595,0.4851,0.4722
596,0.4594,0.4788
597,0.4965,0.4854
598,0.4889,0.4759
599,0.4744,0.4824
600,0.475,0.4837
601,0.5325,0.4921
602,0.5104,0.4936
603,0.4849,0.4971
604,0.5061,0.511
605,0.5171,0.503
606,0.504,0.4973
607,0.5272,0.5211
608,0.546,0.5118
609,0.515,0.5081
610,0.5402,0.5282
611,0.522,0.5049
612,0.8604,0.7495
613,0.8038,0.6959
614,0.5087,0.5001
615,0.5463,0.5306
616,0.5658,0.5354
617,0.55,0.5348
618,0.5544,0.518
619,0.5419,0.5364
620,0.5262,0.5039
621,0.5708,0.5418
622,0.5659,0.5458
623,0.5324,0.5172
624,0.5363,0.5236
625,0.5734,0.52
626,0.5198,0.5066
627,0.5518,0.5472
628,0.5179,0.5163
629,0.573,0.5556
630,0.541,0.5115
631,0.5988,0.5577
632,0.5559,0.5158
633,0.5194,0.5336
634,0.5142,0.5256
635,0.5561,0.5166
636,0.5574,0.5367
637,0.5534,0.5102
638,0.5508,0.5232
639,0.5221,0.5334
640,0.506,0.4905
641,0.5527,0.5059
642,0.5457,0.5061
643,0.5293,0.4959
644,0.5327,0.5104
645,0.505,0.5149
646,0.5329,0.5154
647,0.5153,0.5149
648,0.5371,0.5114
649,0.4914,0.5122
650,0.5352,0.4988
651,0.5419,0.5187
652,0.4994,0.4888
653,0.5011,0.4978
654,0.5298,0.5095
655,0.4737,0.47
656,0.5063,0.4996
657,0.4711,0.4882
658,0.5181,0.4903
659,0.5145,0.4968
660,0.5157,0.4776
661,0.4916,0.4863
662,0.5008,0.4926
663,0.4896,0.4777
664,0.463,0.4516
665,0.4956,0.4676
666,0.4939,0.4776
667,0.4777,0.476
668,0.4718,0.4562
669,0.4493,0.4368
670,0.4775,0.4503
671,0.4572,0.4487
672,0.4333,0.4587
673,0.4346,0.4433
674,0.4353,0.4406
675,0.8037,0.6623
676,0.4733,0.4446
677,0.4348,0.4431
678,0.4737,0.4528
679,0.6889,0.5798
680,0.4235,0.4085
681,0.4441,0.444
682,0.4655,0.4506
683,0.4426,0.4226
684,0.4624,0.4218
685,0.4415,0.4416
686,0.4248,0.4157
687,0.4575,0.4455
688,0.4002,0.3987
689,0.4505,0.4379
690,0.3976,0.4165
691,0.4321,0.4336
692,0.4005,0.4143
693,0.4311,0.4047
694,0.4346,0.3974
695,0.4033,0.388
696,0.3968,0.3897
697,0.4262,0.3889
698,0.3962,0.3802
699,0.3966,0.4146
700,0.4357,0.3946
701,0.3873,0.4104
702,0.4183,0.4004
703,0.4291,0.4041
704,0.3875,0.3812
705,0.421,0.4036
706,0.4296,0.3945
707,0.3861,0.3813
708,0.3961,0.3798
709,0.3945,0.4076
710,0.4336,0.3858
711,0.4144,0.3858
712,0.3909,0.3803
713,0.3951,0.4098
714,0.4282,0.3845
715,0.426,0.3819
716,0.7176,0.6323
717,0.723,0.6021
718,0.4025,0.3791
719,0.4252,0.3868
